Posición,Título,Duración,País,Dirección,Género,Nota
64,Una mujer italiana (Cabrini),145 min.,Estados Unidos,Alejandro Monteverde,Drama|Siglo XIX.Biográfico.Feminismo,"6,1"
65,Pedro Páramo,123 min.,México,Rodrigo Prieto,Drama.Fantástico.Terror|Realismo mágico,"6,0"
66,Marco,101 min.,España,"Aitor Arregi,Jon Garaño",Drama.Thriller|Biográfico.Holocausto,"6,9"
67,La abuela y el forastero,116 min.,España,Sergi Miralles,Comedia.Drama|Comedia dramática,"6,7"
68,Sangre en los labios,104 min.,Reino Unido,Rose Glass,Thriller.Drama|Años 80.Neo-noir.Crimen.Culturismo & Fitness.Homosexualidad,"6,3"
69,Horizon: An American Saga - Capítulo 1,180 min.,Estados Unidos,Kevin Costner,Western.Aventuras.Drama|Guerra de Secesión.Siglo XIX,"6,6"
70,Puntos suspensivos,89 min.,España,David Marqués,Intriga.Thriller|Literatura,"6,1"
71,Grand Tour,129 min.,Portugal,Miguel Gomes,Drama|Años 1910-1919,"6,3"
72,Casa en llamas,105 min.,España,Dani de la Orden,Comedia.Drama|Comedia dramática.Familia,"7,2"
73,Memorias de un caracol,94 min.,Australia,Adam Elliot,Animación.Drama.Comedia|Animación para adultos.Stop Motion.Familia.Años 70,"7,6"
74,Transformers One,103 min.,Estados Unidos,Josh Cooley,Animación.Acción.Aventuras.Ciencia ficción|Robots,"7,0"
75,Thelma,97 min.,Estados Unidos,Josh Margolin,Comedia|Venganza.Vejez / Madurez,"6,1"
76,Bodegón con fantasmas,88 min.,España,Enrique Buleo,Comedia|Comedia negra.Fantasmas,"6,8"
77,Ghostlight,110 min.,Estados Unidos,"Alex Thompson,Kelly O'Sullivan",Drama.Comedia|Comedia dramática.Teatro,"7,0"
78,Aprender a soltar,110 min.,Suecia,Josephine Bornebusch,Drama|Familia,"6,2"
79,Longlegs,101 min.,Estados Unidos,Osgood Perkins,Thriller.Terror|Thriller psicológico.Asesinos en serie.Policíaco.Sobrenatural.Años 90.Cine independiente USA,"6,1"
80,Goyo,107 min.,Argentina,Marcos Carnevale,Drama.Romance.Comedia|Drama romántico.Autismo / Asperger,"6,1"
81,Snack Shack,112 min.,Estados Unidos,Adam Rehmeier,Comedia|Años 90.Amistad,"6,2"
82,Cuando cae el otoño,102 min.,Francia,François Ozon,Drama.Intriga,"6,8"
83,Orión y la oscuridad,85 min.,Estados Unidos,Sean Charmatz,Animación.Fantástico.Comedia|Cine familiar,"6,0"
84,La infiltrada,118 min.,España,Arantxa Echevarria,Thriller.Drama|Basado en hechos reales.Terrorismo.ETA,"7,3"
85,La cocina,139 min.,México,Alonso Ruizpalacios,Drama|Cocina.Inmigración,"6,6"
86,Salve María,111 min.,España,Mar Coll,Drama.Thriller|Maternidad.Thriller psicológico,"6,8"
87,Civil War,109 min.,Estados Unidos,Alex Garland,Acción.Bélico.Drama.Thriller|Distopía.Road Movie.Periodismo.Fotografía.Política,"6,7"
88,Emilia Pérez,130 min.,Francia,Jacques Audiard,Musical.Thriller.Drama|Transexualidad / transgénero.Crimen,"7,4"
89,Los pequeños amores,95 min.,España,Celia Rico Clavellino,Drama|Familia.Maternidad,"6,3"
90,El 47,110 min.,España,Marcel Barrena,Drama|Drama social.Basado en hechos reales.Años 70.Biográfico,"7,5"
91,Parthenope,136 min.,Italia,Paolo Sorrentino,Drama.Ciencia ficción,"6,9"
92,La habitación de al lado,106 min.,España,Pedro Almodóvar,Drama|Amistad.Literatura.Enfermedad,"6,6"
93,Cónclave,118 min.,Reino Unido,Edward Berger,Thriller.Drama.Intriga|Religión,"7,0"
94,Dune: Parte Dos,166 min.,Estados Unidos,Denis Villeneuve,Ciencia ficción.Aventuras.Acción.Drama|Cine épico.Secuela,"7,7"
95,Crossing,106 min.,Suecia,Levan Akin,Drama|Transexualidad / transgénero.Road Movie.Melodrama,"7,2"
96,Fuerza bruta: Castigo,109 min.,Corea del Sur,Heo Myeong Haeng,Acción.Thriller|Crimen.Secuela.Internet / Informática,"6,6"
97,Verano en diciembre,97 min.,España,Carolina África,Comedia.Drama|Familia,"6,1"
98,Exhuma,134 min.,Corea del Sur,Jang Jae-hyun,Thriller.Terror.Intriga|Sobrenatural,"6,2"
99,El baño del diablo,120 min.,Austria,"Severin Fiala,Veronika Franz",Terror.Drama|Siglo XVIII.Folk Horror.Vida rural,"6,5"
